Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
183893,All Our Relations: Native Struggles for Land and Life,Winona LaDuke,"LaDuke, Winona",,"=""0896085996""","=""9780896085992""",0,4.32,South End Press,Paperback,256,2008,1999,,2015/10/29,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
2260704,"Conspiracy of Calaspia (The Insanity Saga, #1)",Jyoti Guptara,"Guptara, Jyoti",Suresh Guptara,"=""8183860265""","=""9788183860260""",0,3.58,India Research Press,Hardcover,586,2007,2006,,2015/10/29,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
18768423,The Face of Resistance: Aung San Suu Kyi and Burma's Fight for Freedom,Aung San Suu Kyi,"Kyi, Aung San Suu",Aung Zaw,"=""6162150666""","=""9786162150661""",3,4.14,Silkworm Books,Paperback,150,2014,2014,2015/10/21,2015/10/18,,,read,,,,1,,,0,,,,,
112293,The River of Lost Footsteps: Histories of Burma,Thant Myint-U,"Myint-U, Thant",,"=""0374163421""","=""9780374163426""",0,3.97,"Farrar, Straus and Giroux",Hardcover,384,2006,2006,,2015/10/10,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""0765348276""","=""9780765348272""",3,4.24,Tor Books,Mass Market Paperback,351,2007,2005,2015/09/10,2015/09/20,,,read,,,,1,,,0,,,,,
17910054,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0805092994""","=""9780805092998""",4,4.13,Henry Holt and Co. (Georg von Holtzbrinck),Hardcover,336,2014,2014,2015/08/21,2015/08/21,,,read,,,,1,,,0,,,,,
135479,Cat's Cradle,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0140285601""","=""9780140285604""",5,4.17,Penguin,Paperback,306,1999,1963,2015/08/11,2015/08/07,,,read,,,,1,,,0,,,,,
119787,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",3,3.98,Ballantine Books,Mass Market Paperback,190,1991,1953,2015/08/07,2015/07/22,,,read,,,,1,,,0,,,,,
18249288,The Island of Knowledge: The Limits of Science and the Search for Meaning,Marcelo Gleiser,"Gleiser, Marcelo",,"=""0465031714""","=""9780465031719""",4,3.92,Basic Books,Hardcover,335,2014,2014,2015/08/03,2015/07/21,,,read,,,,1,,,0,,,,,
64217,"Pyramids (Discworld, #7)",Terry Pratchett,"Pratchett, Terry",,"=""0061020656""","=""9780061020650""",3,3.90,Harper,Mass Market Paperback,341,2008,1989,2015/08/03,2015/07/21,,,read,,,,1,,,0,,,,,
22571886,The Four Books,Yan Lianke,"Lianke, Yan",Carlos   Rojas,"=""0802123120""","=""9780802123121""",0,3.92,Grove Press,Hardcover,400,2015,2013,,2015/08/02,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
2923833,"The Robots Of Dawn (Robot, #3)",Isaac Asimov,"Asimov, Isaac",,"=""0246123044""","=""9780246123046""",3,4.15,,Hardcover,,1984,1983,2015/07/17,2015/06/16,,,read,,,,1,,,0,,,,,
18209466,The Pope and Mussolini: The Secret History of Pius XI and the Rise of Fascism in Europe,David I. Kertzer,"Kertzer, David I.",,"=""0812993462""","=""9780812993462""",4,4.07,Random House,Hardcover,592,2014,2014,2015/07/15,2015/04/21,,,read,,,,1,,,0,,,,,
18874528,The Little Book of the Icelanders,Alda Sigmundsdóttir,"Sigmundsdóttir, Alda",,"=""""","=""9789979221814""",2,3.99,Vaka-Helgafell,Hardcover,101,2013,2011,2013/12/13,2013/12/09,,,read,,,,1,,,1,2013/12/04,Iceland,Brand new,,
30016,The Naked Sun (Robot #2),Isaac Asimov,"Asimov, Isaac",,"=""0586010165""","=""9780586010167""",4,4.15,HarperCollins Publishers,Mass Market Paperback,208,1996,1956,2013/01/01,2015/07/07,,,read,,,,1,,,0,,,,,
841628,The Hitchhiker's Guide to the Galaxy: A Trilogy in Four Parts,Douglas Adams,"Adams, Douglas",,"=""0330316117""","=""9780330316118""",5,4.51,Pan Books,Paperback,590,1992,1986,2015/06/30,2015/06/16,,,read,,,,1,,,0,,,,,
243685,A History of Western Philosophy,Bertrand Russell,"Russell, Bertrand",,"=""0671201581""","=""9780671201586""",4,4.07,Simon & Schuster,Paperback,906,1986,1945,2015/06/13,2015/06/14,,,read,,,,1,,,0,,,,,
32276,Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,"Sagan, Carl",,"=""0345346297""","=""9780345346292""",3,4.17,Ballantine Books,Paperback,271,1986,1977,2015/06/14,2015/05/24,,,read,,,,1,,,1,,,unspecified,,
7905092,Freedom,Jonathan Franzen,"Franzen, Jonathan",,"=""0374158460""","=""9780374158460""",0,3.74,"Farrar, Straus and Giroux",Hardcover,562,2010,2010,,2015/06/10,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
